gene	p_snp_total	p_snp_synonymous	p_snp_missense	p_snp_lof	p_snp_cadd_l5	p_snp_cadd_g20	p_snp_cadd_g30
GPR107	2.0496739070364e-05	5.59439993116651e-06	1.37044398274472e-05	7.68512646339473e-07	1.87956233761287e-05	1.26431048306054e-05	5.71841050820048e-06
GPR108	2.71483168850385e-05	6.48958654788606e-06	1.9181292963841e-05	8.31666616535233e-07	2.29907216982136e-05	1.64590366002802e-05	6.52701294195956e-06
GPR110	3.44377286143095e-05	9.75167358377012e-06	2.33532042858669e-05	1.06828409722822e-06	2.94543747733794e-05	1.83335258276227e-05	7.06940528385417e-06
GPR111	2.57204183341549e-05	6.61748679543691e-06	1.78296126516986e-05	9.39451535723578e-07	2.2665279468781e-05	1.30818383839009e-05	4.38990888830068e-06
GPR112	0.000108248900876716	3.00237130340629e-05	7.45776717206939e-05	3.009486109584e-06	9.30491192973924e-05	4.68771122720659e-05	2.133510939492e-05
GPR113	4.72094199611433e-05	1.306941319681e-05	3.15156221067396e-05	1.97112910491557e-06	3.94638924666714e-05	2.46872705751423e-05	1.10646115934482e-05
GPR114	2.71904952298684e-05	8.27517678659565e-06	1.79884015606876e-05	6.20032485879851e-07	2.29887321837564e-05	1.49558042818397e-05	5.8103115729323e-06
GPR115	2.7627497639067e-05	7.35291670377739e-06	1.90990706695475e-05	9.30837447279306e-07	2.46444120372345e-05	1.43274814221337e-05	4.7557662052364e-06
GPR116	5.31775265230327e-05	1.51986161055076e-05	3.55978790433137e-05	1.58400452824616e-06	4.66010934479704e-05	2.83294097075157e-05	1.03443962789615e-05
GPR119	1.47961508752151e-05	4.25339253410212e-06	9.95971235734712e-06	5.41449581720228e-07	1.26455326255871e-05	7.94060823914698e-06	3.11897942258807e-06
GPR12	1.9240469204318e-05	6.71538109186597e-06	1.199943016719e-05	4.9024769159137e-07	1.65288184774843e-05	1.20839006485225e-05	5.12419233890703e-06
GPR123	7.54536997661294e-05	2.51090161562588e-05	4.77735878589432e-05	1.78392117679658e-06	6.4318729282735e-05	3.81088045868233e-05	1.47978634795064e-05
GPR124	5.24403060041981e-05	1.59533330595305e-05	3.45807352062656e-05	1.39235021495159e-06	4.68117016094467e-05	3.29043799064944e-05	1.32923485887584e-05
GPR125	5.96707497685909e-05	1.68947591735086e-05	3.97425429378943e-05	2.36149222377454e-06	5.3457280549024e-05	4.03692283471518e-05	1.57680138585127e-05
GPR126	4.43120582017135e-05	1.16028562123967e-05	3.02573994087336e-05	1.88389603028079e-06	3.96812282390022e-05	2.81505699974181e-05	1.03652393286544e-05
GPR128	3.04698859583125e-05	8.0571636866961e-06	2.10817248219072e-05	9.59577371980121e-07	2.62470051979276e-05	1.59586406207886e-05	6.06379045357157e-06
GPR132	2.4904265750402e-05	8.813446044138e-06	1.56245362194796e-05	4.07657399407757e-07	2.01899422716859e-05	1.29378548237454e-05	5.98238900579437e-06
GPR133	4.89096633915364e-05	1.56221662716515e-05	3.12837802361472e-05	1.03590862311319e-06	4.11604768686031e-05	2.76652280311411e-05	1.15601036883237e-05
GPR135	2.65900732481919e-05	8.60735888981131e-06	1.74894897202884e-05	4.93224638092237e-07	2.32803018103356e-05	1.65146433248317e-05	6.96411587145416e-06
GPR137	2.66619523520171e-05	6.50948432151353e-06	1.86095679256147e-05	8.92540405090615e-07	2.40086287918878e-05	1.56632948367413e-05	5.21996017549266e-06
GPR137B	2.02332609295337e-05	6.2641866482954e-06	1.29004904431141e-05	7.64044513664289e-07	1.87486862544594e-05	1.25683859023046e-05	4.12752316312553e-06
GPR137C	2.02089811276475e-05	6.56690274201313e-06	1.28844139905815e-05	6.65726690912864e-07	1.72742770261285e-05	1.21240068080614e-05	4.37595764388549e-06
GPR139	1.47453380500139e-05	4.36176723180416e-06	1.00394212866009e-05	3.36626902672232e-07	1.26768153077904e-05	1.04535976662473e-05	3.58513283249827e-06
GPR141	1.22466002028264e-05	3.44421444208881e-06	8.48877638534661e-06	2.7201653329111e-07	1.0651217937988e-05	6.77063458668306e-06	2.39333887671056e-06
GPR142	2.62906244432097e-05	7.72131661675818e-06	1.75751432739058e-05	8.04292030168221e-07	2.17657028307749e-05	1.53147560604754e-05	5.93765026910113e-06
GPR143	1.43161339444831e-05	4.48818165393896e-06	9.12697371545852e-06	4.66892139687159e-07	1.24570085901414e-05	8.3546932397492e-06	2.89508271563201e-06
GPR144	1.29070085297656e-05	3.59305852630658e-06	8.78299514219757e-06	3.46618904779154e-07	1.0788041871813e-05	7.56522276427093e-06	3.72710602801792e-06
GPR146	2.30710522989244e-05	8.08595569235203e-06	1.44612648778747e-05	4.11526294083581e-07	1.85674854309874e-05	1.43175074718089e-05	5.57745040765134e-06
GPR148	1.47557869592639e-05	4.15239597677662e-06	1.01028136001296e-05	4.58911627701327e-07	1.2360445046938e-05	7.04182346317658e-06	3.13305770379933e-06
GPR149	3.53027837362727e-05	1.11078131590765e-05	2.3224035269909e-05	9.03343006605564e-07	3.08040760595395e-05	2.10824336690066e-05	9.09597830255214e-06
GPR15	1.39264208031695e-05	4.04418891054138e-06	9.44767544897837e-06	3.99680311325133e-07	1.21162320181499e-05	8.24811289511177e-06	3.00788045274009e-06
GPR151	1.60212000749201e-05	4.63846592020673e-06	1.0613171420037e-05	7.32718443152869e-07	1.39754336344537e-05	8.74070111542573e-06	3.26954366255422e-06
GPR152	2.67918258883098e-05	8.82337245973701e-06	1.70988102338282e-05	7.19119956295009e-07	2.31311136459595e-05	1.37763522266472e-05	4.98761713911025e-06
GPR153	2.25184466429879e-05	7.16169038306757e-06	1.48720156201401e-05	3.68391785670811e-07	1.98337197522365e-05	1.63944922978788e-05	6.11412970906757e-06
GPR155	3.11084614436323e-05	8.26176763217372e-06	2.12437327176626e-05	1.3780388054282e-06	2.72491084371403e-05	2.0936851128254e-05	8.10224414811665e-06
GPR156	3.20911842891351e-05	8.75081952368662e-06	2.19703526908416e-05	1.0400011905834e-06	2.73012012177717e-05	1.79494200046756e-05	8.25237755513479e-06
GPR157	8.58381522073141e-06	2.83482890994644e-06	5.38573951211074e-06	2.44929796217063e-07	7.39678987595156e-06	5.40559528147757e-06	2.42293967828849e-06
GPR158	6.0830846627473e-05	1.77869236862512e-05	4.01310966170156e-05	2.54506524887023e-06	5.57108206027167e-05	3.37675982031483e-05	1.50238487706243e-05
GPR160	1.05948623927387e-05	2.64001057116472e-06	7.49312245545498e-06	4.22337172937663e-07	9.08217053090821e-06	4.88528026440818e-06	2.1296753942076e-06
GPR161	2.69555918274716e-05	8.00264393307277e-06	1.78393240217225e-05	8.66544970837556e-07	2.32274562028121e-05	1.74883374232758e-05	7.06807838345757e-06
GPR162	3.25640861768835e-05	8.47006463402293e-06	2.25689490685957e-05	1.00037934242447e-06	2.91489872771171e-05	2.11871706693248e-05	7.41874757235829e-06
GPR17	2.20535870687408e-05	6.93875632137216e-06	1.46304569391088e-05	4.23933984987507e-07	1.90139949405902e-05	1.39559226152069e-05	4.76997888282627e-06
GPR171	1.22277832109808e-05	3.40375373175619e-06	8.19444072415316e-06	5.94626758609622e-07	1.08216241360621e-05	7.51628546844629e-06	2.35814683880286e-06
GPR173	2.18172070329415e-05	6.61162309196902e-06	1.46943012620998e-05	4.6378277138468e-07	1.79244398402459e-05	1.37510532534396e-05	5.34039194919583e-06
GPR174	1.26322590794285e-05	3.31373741114587e-06	8.44532065840378e-06	8.29800132309637e-07	1.13493788886896e-05	7.21580883309099e-06	2.41084316696536e-06
GPR176	2.04828518720375e-05	5.68276092129243e-06	1.40706010385408e-05	6.00134589295094e-07	1.77187029542627e-05	1.40795757614709e-05	5.22728171623475e-06
GPR179	0.000103015890562711	2.92759115478465e-05	6.94555864573605e-05	3.88785142029314e-06	8.6887280076879e-05	5.65419903099836e-05	2.59511545707585e-05
GPR18	1.52056668879459e-05	4.42212935529692e-06	1.0030194956648e-05	7.17932322330395e-07	1.35636618345462e-05	9.27309845100592e-06	3.43853323284359e-06
GPR180	1.36806955464939e-05	3.87946027237053e-06	9.1697453335059e-06	5.12336483782275e-07	1.24047341796519e-05	8.51454716324603e-06	2.90916325558184e-06
GPR182	2.00588481843748e-05	5.87954418379043e-06	1.36432490629412e-05	4.9518829171079e-07	1.64200761885376e-05	1.17956154914781e-05	4.92725731387292e-06
GPR183	1.45620573628376e-05	3.85839634474703e-06	1.02333657587142e-05	4.347543066549e-07	1.29841247480496e-05	8.76067310225963e-06	2.83015219604859e-06
GPR19	1.67357677683208e-05	4.64561042688628e-06	1.13328060681168e-05	7.09722724144212e-07	1.50533885403181e-05	9.1344177999054e-06	3.00440817183778e-06
GPR20	2.74055066318798e-05	9.02812460457821e-06	1.7985655613886e-05	3.48378415359024e-07	2.42889196976905e-05	1.45947123597293e-05	5.04931378466607e-06
GPR21	1.37519150309734e-05	3.73355396377763e-06	9.55504805651468e-06	4.28902404362205e-07	1.19641919239231e-05	8.49387826052752e-06	2.51955199749813e-06
GPR22	1.53554271895882e-05	3.65356383240031e-06	1.04848176752596e-05	1.17617903599588e-06	1.39364072282019e-05	9.34949343103512e-06	3.05499349287958e-06
GPR25	2.49121758614222e-05	8.62396126814832e-06	1.57782740663901e-05	5.09940526883797e-07	2.30759427289552e-05	1.33456347245668e-05	3.99642641324261e-06
GPR26	6.71112179582789e-06	1.91657426774655e-06	4.41013965829679e-06	3.51271020815281e-07	6.20338347342394e-06	4.36188409949566e-06	1.82583748274206e-06
GPR27	1.61742825696778e-05	5.99908086251286e-06	9.78210268138111e-06	1.66567245116071e-07	1.51596683491228e-05	9.55922989495406e-06	2.5196819356423e-06
GPR3	1.64764504567754e-05	5.0334932685242e-06	1.10027035451571e-05	3.9905341444345e-07	1.43557415843749e-05	9.76950646915113e-06	3.02695813106076e-06
GPR31	1.6122329364959e-05	5.19751768393451e-06	1.05191055048893e-05	3.68861884611733e-07	1.35598557077248e-05	8.65578822520449e-06	3.34444455074476e-06
GPR32	1.96694100573754e-05	5.86293466417256e-06	1.33118728208692e-05	4.53402343682999e-07	1.67835051098063e-05	9.1183293068281e-06	3.60006512832387e-06
GPR34	1.48141380980558e-05	3.60251586738087e-06	1.05347285632342e-05	6.41808922611297e-07	1.31933504334917e-05	8.18276087988597e-06	3.00529173954229e-06
GPR35	2.05188227194539e-05	6.74488999893324e-06	1.33269378867238e-05	3.93844926095722e-07	1.60559026569359e-05	1.09839689092005e-05	5.23740300942957e-06
GPR37	3.57719330711534e-05	1.11390691355238e-05	2.33929056227208e-05	1.09893530731693e-06	3.05686539322034e-05	2.12065378132147e-05	8.09671812505397e-06
GPR37L1	2.2086386270311e-05	7.07714343005052e-06	1.42435297817935e-05	7.03936099669427e-07	1.91616227104115e-05	1.30867673755594e-05	5.24811230967749e-06
GPR39	2.86268252661781e-05	9.51816085684282e-06	1.85491502803137e-05	4.91936683519998e-07	2.47734426643818e-05	1.6926307423979e-05	6.85244518132412e-06
GPR4	2.58314799850018e-05	8.54905904548502e-06	1.67505352885093e-05	4.90289248961795e-07	2.2215897773076e-05	1.68992852053656e-05	5.80037527955793e-06
GPR42	1.8714538332151e-05	6.08376132796203e-06	1.21063229201734e-05	4.82788329359098e-07	1.59253312258417e-05	9.79900664854299e-06	3.69165407438224e-06
GPR45	2.56232237913486e-05	8.38994926877945e-06	1.66822218778452e-05	5.16176512399311e-07	2.22403621260063e-05	1.36955585787283e-05	4.93638342289174e-06
GPR50	3.02153862618436e-05	8.38917344234595e-06	2.09622383014887e-05	5.31758748176798e-07	2.45127963757201e-05	1.56613966183408e-05	6.72648534936041e-06
GPR52	1.49478816402567e-05	3.70429200147874e-06	1.05690614336783e-05	6.33327976448992e-07	1.31509136831284e-05	1.00102798866073e-05	3.27927728124192e-06
GPR55	1.50080071573749e-05	4.53760429855535e-06	1.00433463465765e-05	3.85590809248235e-07	1.27908678300781e-05	8.1909211256569e-06	3.55123619636598e-06
GPR56	3.50739373622839e-05	9.3694842286275e-06	2.31749355796841e-05	1.48456049093912e-06	2.9444199955683e-05	1.99057127614307e-05	8.46347180282783e-06
GPR6	2.86635960919888e-05	1.08142289039358e-05	1.74713355384783e-05	3.33790088810026e-07	2.51165476007734e-05	1.77738640573346e-05	6.24921818253608e-06
GPR61	2.2372341066718e-05	6.35641790503756e-06	1.51219597219247e-05	7.96781254341491e-07	1.92581206747796e-05	1.40078759214401e-05	5.32452232284881e-06
GPR63	1.65181837452795e-05	4.45060271972596e-06	1.14134036377484e-05	6.12580985759505e-07	1.42776237793042e-05	1.00996833601647e-05	3.94686544867887e-06
GPR64	4.03395018092599e-05	1.14050473254894e-05	2.7079122789986e-05	1.24839170938054e-06	3.42151016785157e-05	2.52075615246651e-05	1.02672975793424e-05
GPR65	1.28545114499627e-05	3.39141254631431e-06	8.80684257404823e-06	4.79061443215685e-07	1.12060342888536e-05	7.01182663548976e-06	2.66743674346046e-06
GPR68	2.6595038879704e-05	9.21769428496291e-06	1.68738675948162e-05	4.26918601417488e-07	2.19027436931803e-05	1.76414138722143e-05	8.29345660785e-06
GPR75	2.16431534118877e-05	6.14792360123861e-06	1.4749165187574e-05	7.10654369404439e-07	1.9063160993761e-05	1.33828062920952e-05	4.15646284853452e-06
GPR75-ASB3	2.14846766462633e-05	5.92263827701545e-06	1.45136704169607e-05	7.56851356362087e-07	1.81255993455598e-05	1.4046838046935e-05	5.60937515540551e-06
GPR78	1.05132527031251e-05	3.28924285157709e-06	7.09018899006843e-06	1.0068401251028e-07	8.37890289518686e-06	5.95182835892947e-06	2.52709903917017e-06
GPR82	1.16865980111257e-05	3.08041947855134e-06	8.18473380075193e-06	3.86359986992898e-07	1.03207767551705e-05	5.824095658274e-06	1.9338265067309e-06
GPR83	2.09698048272117e-05	6.42923379764641e-06	1.3843640294895e-05	6.13851393819827e-07	1.86644821466778e-05	1.2687255563712e-05	5.0861318935115e-06
GPR84	1.72194943344711e-05	4.35980807045512e-06	1.19829409054358e-05	8.29767858877067e-07	1.45189196157159e-05	1.14499010235683e-05	4.8270653648104e-06
GPR85	1.39509719165615e-05	4.03259986725779e-06	9.45381353588023e-06	4.24636460574246e-07	1.25315159229045e-05	7.86455494917309e-06	2.12224654105387e-06
GPR87	1.47371915743819e-05	4.26606467097638e-06	9.84381254798603e-06	5.73111636630101e-07	1.30598415876177e-05	9.02558540396158e-06	2.8859988811553e-06
GPR89A	1.8108996831778e-05	3.97330844203558e-06	1.27538970808085e-05	9.41548342992426e-07	1.59124628795196e-05	1.15771930721705e-05	4.38128386654991e-06
GPR89B	1.78131531174666e-05	4.04489224914167e-06	1.24628772155543e-05	9.22217768419842e-07	1.60790511192431e-05	1.23949781711662e-05	4.39304914526038e-06
GPR89C	1.19735288086255e-05	2.72527146690002e-06	8.50133954189572e-06	5.66377876504643e-07	1.09720128149699e-05	7.81773824064645e-06	2.39807727221827e-06
GPR97	3.03069502964418e-05	8.48328016966529e-06	2.05913407166223e-05	8.83114214316516e-07	2.40561892077818e-05	1.74685363875344e-05	8.36306303245233e-06
GPR98	0.000236950582459738	6.451061869835e-05	0.000161567869156675	8.68377863745615e-06	0.000207455337006421	0.000155018087492999	5.83717372987609e-05
GPRASP1	4.81454695121785e-05	1.25125026667804e-05	3.32037866573397e-05	2.38797995940778e-06	4.06985661780898e-05	2.27717214178623e-05	1.0713592736011e-05
GPRASP2	3.04206402463312e-05	8.39983508557691e-06	2.07284044318724e-05	1.25120050023121e-06	2.683770895157e-05	1.28803575404548e-05	5.20165885147701e-06
GPRC5A	1.7758244845261e-05	5.33922755100873e-06	1.17454886282212e-05	5.40624858346438e-07	1.55649944200613e-05	1.00890014870034e-05	3.56143180528446e-06
GPRC5B	2.48566904415108e-05	8.54967950920922e-06	1.55409653376519e-05	5.92027377713124e-07	2.10746258264987e-05	1.70531650034665e-05	6.4761854080592e-06
GPRC5C	2.89115333493055e-05	8.53998474216434e-06	1.91173210250282e-05	6.28211925753501e-07	2.4700491917015e-05	1.77367171883719e-05	6.57791057489589e-06
GPRC5D	1.5551294625051e-05	4.81369883635036e-06	9.92853860833574e-06	7.1082895124817e-07	1.32107844986581e-05	9.13297569963186e-06	3.68364227375676e-06
GPRC6A	3.20550129615257e-05	8.27654004497783e-06	2.23680724149526e-05	1.22976881269784e-06	2.80279975583069e-05	1.80421436844828e-05	6.62393503036594e-06
GPRIN1	5.04013957782651e-05	1.71545426397584e-05	3.22329075978885e-05	9.7885284510557e-07	4.30815399953636e-05	2.46374600883262e-05	1.20433016558313e-05
GPRIN2	2.35798366453267e-05	7.21152605051677e-06	1.57011846661023e-05	6.25925700057079e-07	1.98312668462411e-05	1.27393300519817e-05	5.18579623244636e-06
GPRIN3	3.34175273736672e-05	9.92151315975312e-06	2.25376968141854e-05	9.1672099768302e-07	2.82521665352003e-05	1.71547348963285e-05	8.44479554385406e-06
GPS1	3.36103540453782e-05	9.40844908160912e-06	2.26425472356978e-05	9.48829416816519e-07	3.14788863887438e-05	2.03601084230355e-05	6.89811537732052e-06
GPS2	1.18533347285757e-05	2.73323694215001e-06	8.10491511312885e-06	5.83080966184851e-07	1.06929596803561e-05	8.67906628823241e-06	2.54134645615318e-06
GPSM1	2.57863876305901e-05	8.71657961433554e-06	1.62056160705388e-05	5.07564364976604e-07	2.31235874915008e-05	1.64872205849269e-05	7.48192516805336e-06
GPSM2	2.6550603082349e-05	6.52013747213761e-06	1.84056792655025e-05	1.3353250096591e-06	2.37326300351352e-05	1.89146090487831e-05	9.5524526119598e-06
GPSM3	7.04119480096416e-06	1.51137827314374e-06	5.02159617798047e-06	3.55331968879726e-07	6.45324598200536e-06	4.95863635732235e-06	1.73959385188745e-06
GPT	1.9024940942963e-05	5.92119055842469e-06	1.23051797547425e-05	3.51182460062419e-07	1.59782453136769e-05	1.16724443606602e-05	4.79552677057819e-06
GPT2	3.1659944944406e-05	9.49539788730656e-06	2.06432758411389e-05	7.291635259126e-07	2.88065613061811e-05	2.09928923867046e-05	8.70639656172309e-06
GPX1	9.34771066185839e-06	3.35182672980394e-06	5.87076195621388e-06	1.19706231715216e-07	7.9022501137338e-06	5.95323813163625e-06	2.59100591432894e-06
GPX2	9.55812852506541e-06	2.46092369755742e-06	6.705366519581e-06	2.73393380535025e-07	8.49501868592777e-06	7.01021906340167e-06	2.48213747865794e-06
GPX3	1.21651781993444e-05	1.98582819280943e-06	9.41418313088304e-06	6.39067381430722e-07	1.0645435076223e-05	7.42773455873897e-06	2.94507053921177e-06
GPX4	1.55772542713426e-05	4.24648220611852e-06	1.03595247694594e-05	6.28794411330554e-07	1.36279934677276e-05	9.17637614644817e-06	3.32561785437938e-06
GPX5	9.18135324695111e-06	2.40197771008921e-06	6.39739656840042e-06	2.59529078828841e-07	8.03205276268721e-06	5.23555515304182e-06	2.27803976164209e-06
GPX6	8.05433334324485e-06	1.75334885898242e-06	5.69393234961463e-06	4.80469857401611e-07	6.82996080451335e-06	4.5545141203446e-06	1.85047345837971e-06
GPX7	6.72022401343741e-06	1.89550073368215e-06	4.26645833189615e-06	5.24845546322439e-07	6.2421856907579e-06	4.6412771353131e-06	1.79726026314504e-06
GPX8	7.66736696167192e-06	2.01749513217341e-06	5.07340932836937e-06	2.46542213255607e-07	6.89511223750788e-06	4.9704335107782e-06	2.01404395421743e-06
GRAMD1A	4.12636938787443e-05	1.1038405975675e-05	2.81433136907541e-05	1.14872414624904e-06	3.84715906791766e-05	2.60872965165074e-05	1.04958047653925e-05
GRAMD1B	4.00803623689942e-05	1.15362975317794e-05	2.66375478574384e-05	1.3156122949673e-06	3.81175153726361e-05	2.62027974186005e-05	1.05340743406663e-05
GRAMD1C	2.36480803058501e-05	5.31335378281182e-06	1.62693636283369e-05	1.67636314370234e-06	2.08260900982193e-05	1.49422079838337e-05	6.17601089511975e-06
GRAMD2	1.27743183793675e-05	3.21743671771928e-06	8.80060148771368e-06	4.69160295515985e-07	1.0892168689302e-05	7.56981788870172e-06	3.63591577022166e-06
GRAMD3	1.60646346465544e-05	3.24985143415954e-06	1.14428639297015e-05	8.51746377316129e-07	1.39617862563342e-05	9.78959556463691e-06	4.03948138530239e-06
GRAMD4	3.74599426671668e-05	1.13165685668247e-05	2.41605320597515e-05	1.00959599899432e-06	3.38554439418763e-05	2.35316801851459e-05	8.37780209731989e-06
GRAP	9.1193145304227e-06	2.69212770105972e-06	6.07703234886102e-06	2.02521008760788e-07	8.17152329360853e-06	6.08548592408518e-06	2.53803717141441e-06
GRAP2	1.53837866796985e-05	3.4509983261361e-06	1.02904299180496e-05	1.21041171921199e-06	1.35821780057204e-05	1.03954870931623e-05	4.92571016112529e-06
GRAPL	5.58134963913352e-06	1.53266770514935e-06	3.69121842588713e-06	1.28213856005523e-07	5.08001738472936e-06	3.67985487581199e-06	9.32281690412862e-07
GRASP	8.335859606156e-06	1.92358841133097e-06	5.88944966927759e-06	3.25953319025335e-07	7.81466561751307e-06	6.34099763206388e-06	3.11295064395036e-06
GRB10	3.03027042464211e-05	9.36150971609597e-06	1.93309462814298e-05	1.0827833423799e-06	2.73237533263051e-05	1.76672953024335e-05	7.89355959297896e-06
GRB14	1.9026528069144e-05	5.22279387194114e-06	1.27663625059988e-05	7.96102963150028e-07	1.70749788297366e-05	1.27706094135613e-05	5.55749237196388e-06
GRB2	1.12174751893518e-05	2.32976603038128e-06	8.17031055431817e-06	6.00695365725938e-07	9.97378241797909e-06	7.94632530520584e-06	3.93830832094702e-06
GRB7	3.17585869293616e-05	7.53822507313277e-06	2.20561045850187e-05	9.25936336900645e-07	2.88466853943969e-05	2.08879050638984e-05	9.71642369400525e-06
GREB1	0.000116997939420807	3.84201858108141e-05	7.44495593868883e-05	2.77412081385116e-06	0.000103009226721243	7.29842001189309e-05	3.33832601099471e-05
GREB1L	6.54831722295855e-05	1.79070264717459e-05	4.39908926908946e-05	2.71059126198304e-06	5.89537562389189e-05	4.36666695968661e-05	1.75632113603056e-05
GREM1	9.75993984719394e-06	2.34899330069567e-06	6.78094356204598e-06	3.03756299164717e-07	8.70985156555464e-06	6.76596465499376e-06	3.2111010807985e-06
GREM2	1.19961935144546e-05	3.87769881612051e-06	7.74955849542485e-06	3.28462409739153e-07	1.14632129583047e-05	7.25166473025411e-06	3.10308050826621e-06
GRHL1	2.66171519764221e-05	6.1139229028499e-06	1.88876002892042e-05	1.24881400112375e-06	2.4171896414577e-05	1.77897782077116e-05	7.61708572409914e-06
GRHL2	2.8754809165294e-05	7.8499615484558e-06	1.895740071019e-05	1.45159876141983e-06	2.63742755326064e-05	1.88214286166658e-05	8.75023123704057e-06
GRHL3	3.0614626664573e-05	8.43371233725281e-06	2.08606804362797e-05	6.85632197602813e-07	2.74002930081401e-05	1.97975093727602e-05	8.99146679965448e-06
GRHPR	2.39671701126165e-05	7.59220477436273e-06	1.55065639816601e-05	6.64095350039322e-07	1.92485230011211e-05	1.56696808714267e-05	9.038970216532e-06
GRIA1	4.5311958814661e-05	1.29201183796874e-05	3.02973950317482e-05	1.54987554102074e-06	4.21270729829875e-05	3.13346224455612e-05	1.05301232398728e-05
GRIA2	3.79376183663239e-05	1.11202543913979e-05	2.4981657188415e-05	1.49127933759698e-06	3.41280740666629e-05	2.54587605194484e-05	7.28847913555343e-06
GRIA3	4.45452472571106e-05	1.22773498972582e-05	2.98855055738128e-05	1.90546471362261e-06	4.07716636042555e-05	2.8852698976652e-05	9.2964057590565e-06
GRIA4	3.86180422385502e-05	1.05452508149596e-05	2.57809200169684e-05	1.92719169121736e-06	3.58350657554426e-05	2.4244427441106e-05	8.7850214348271e-06
GRID1	5.28668791201083e-05	1.61999202261337e-05	3.51546878317259e-05	1.13245510853733e-06	4.74639121722554e-05	3.74263830258069e-05	1.46975988875496e-05
GRID2	4.51515740772675e-05	1.17387381739073e-05	3.03516968234547e-05	2.40932098074374e-06	4.1778122904192e-05	3.21090318371641e-05	1.27127733289835e-05
GRID2IP	3.41081383972516e-05	1.03464005036256e-05	2.25571488213719e-05	7.84829693906718e-07	3.17767450046396e-05	2.19893299161819e-05	7.8329766704813e-06
GRIK1	4.01904665173088e-05	1.1470403599678e-05	2.68160233413325e-05	1.45306745783376e-06	3.59770595791795e-05	2.89742475571651e-05	1.18274878904833e-05
GRIK1-AS2	1.20299281077209e-06	3.37085000335012e-07	7.82221560779817e-07	4.34937422354743e-08	9.91760943815899e-07	3.357598682347e-07	2.77966969435171e-07
GRIK2	3.75230574800657e-05	9.71308912735747e-06	2.55736153518427e-05	1.68597552301106e-06	3.45179777014211e-05	2.68800430117528e-05	9.4085478425983e-06
GRIK3	5.49463419537104e-05	1.67596232058895e-05	3.5990045813533e-05	1.68759155911319e-06	5.03201145767353e-05	3.73342099361683e-05	1.52823359327434e-05
GRIK4	4.49801009798481e-05	1.33534892063297e-05	2.99094828535381e-05	1.06700351211343e-06	4.30155946497759e-05	2.95379864316198e-05	1.16733572428768e-05
GRIK5	5.39130384708849e-05	1.58087021410558e-05	3.62671118707642e-05	1.44214469970527e-06	4.87689896486031e-05	3.93091767282451e-05	1.91664471515192e-05
GRIN1	4.88695162427796e-05	1.54507394399949e-05	3.18463042606696e-05	9.11235129255804e-07	4.58954089436228e-05	3.09560840292464e-05	1.00490214492433e-05
GRIN2A	7.5259219301469e-05	2.329922918381e-05	4.97745849241569e-05	1.70816068418986e-06	6.68638968743285e-05	4.79014553326513e-05	1.76106376048127e-05
GRIN2B	7.64706164998844e-05	2.32427836891794e-05	5.09379492584015e-05	2.0602832518063e-06	6.73871910234734e-05	5.21241606373341e-05	1.85816514683039e-05
GRIN2C	3.69005714754336e-05	1.1631843019156e-05	2.43183550469823e-05	6.20646547403317e-07	3.26644176705523e-05	2.6202015332586e-05	1.14584031995984e-05
GRIN2D	4.56388395308122e-05	1.4575165724269e-05	2.99567945907836e-05	8.51812375721969e-07	4.35419704213891e-05	3.21161735177108e-05	1.18699850991608e-05
GRIN3A	5.20308341654034e-05	1.51841536091804e-05	3.49295540275054e-05	1.75345671235088e-06	4.5439147971943e-05	3.3641629466342e-05	1.25797064495353e-05
GRIN3B	3.94992872264053e-05	1.31662834214651e-05	2.55082461498437e-05	5.21679455500691e-07	3.36191864684237e-05	2.5430205769357e-05	8.33182165293189e-06
GRINA	1.95591697237533e-05	3.04559731826202e-06	1.52528257337776e-05	1.00070638153048e-06	1.68652328810772e-05	1.11591584483871e-05	4.1606830003616e-06
GRIP1	4.85028349683544e-05	1.31385895774231e-05	3.27020796667331e-05	2.12729702539671e-06	4.30743361057809e-05	3.17686481147373e-05	1.33114702741358e-05
GRIPAP1	3.58181609022143e-05	8.61370984022611e-06	2.51408289821888e-05	1.40412891043835e-06	3.2529087641628e-05	2.54644479068977e-05	1.05313799459132e-05
GRK1	1.80149725356943e-05	6.08749717804617e-06	1.12667537415593e-05	4.67063350581768e-07	1.55436238540798e-05	1.09302921382778e-05	4.72832329139803e-06
GRK4	2.30690800112105e-05	6.6370759335864e-06	1.53317655759688e-05	9.0013297562274e-07	2.09100591408215e-05	1.38094833471466e-05	5.18714962450687e-06
GRK5	3.09142016509207e-05	9.34411234773823e-06	2.0223704477711e-05	9.03859211377272e-07	2.87072662567906e-05	2.11359979595171e-05	8.28077995422837e-06
GRK6	3.72651404508177e-05	9.39371326698452e-06	2.55098635754516e-05	1.30098702671626e-06	3.47653703964643e-05	2.45837677315449e-05	9.0621805211141e-06
GRK7	2.80800380241792e-05	8.31961043045235e-06	1.89311240104455e-05	7.35853254698217e-07	2.40989364634035e-05	1.74502964826044e-05	7.15833284926601e-06
GRM1	6.54099023310636e-05	2.07470610020306e-05	4.26231528325952e-05	1.81538115902851e-06	5.85207972782878e-05	4.05056537584595e-05	1.57923912581598e-05
GRM2	5.05541150126388e-05	1.38305623775849e-05	3.53993351949875e-05	1.09553627671674e-06	4.49342957167974e-05	3.4751016811287e-05	1.23005784452256e-05
